unix_time, readable_time, sample_index, sequence, D0, D1, D2, D3, A1_(EMG), A2_(EDA), A3_(ECG), A4, A5, A6
1769151046.357024,2026-01-23 15:50:46.357,193,1,1,1,0,0,510,1020,515,2,0,0
1769151046.358024,2026-01-23 15:50:46.358,194,2,1,1,0,0,513,1020,515,2,0,0
1769151046.359024,2026-01-23 15:50:46.359,195,3,1,1,0,0,511,1020,514,2,0,0
1769151046.360024,2026-01-23 15:50:46.360,196,4,1,1,0,0,510,1020,514,2,0,0
1769151046.361024,2026-01-23 15:50:46.361,197,5,1,1,0,0,508,1020,513,2,0,0
1769151046.362024,2026-01-23 15:50:46.362,198,6,1,1,0,0,507,1020,512,2,0,0
1769151046.363024,2026-01-23 15:50:46.363,199,7,1,1,0,0,510,1020,511,2,0,0
1769151046.364024,2026-01-23 15:50:46.364,200,8,1,1,0,0,511,1020,511,2,0,0
1769151046.365024,2026-01-23 15:50:46.365,201,9,1,1,0,0,515,1020,511,2,0,0
1769151046.366024,2026-01-23 15:50:46.366,202,10,1,1,0,0,515,1020,510,2,0,0
1769151046.367024,2026-01-23 15:50:46.367,203,11,1,1,0,0,512,1020,510,2,0,0
1769151046.368024,2026-01-23 15:50:46.368,204,12,1,1,0,0,511,1020,511,2,0,0
1769151046.369024,2026-01-23 15:50:46.369,205,13,1,1,0,0,512,1020,512,2,0,0
1769151046.370024,2026-01-23 15:50:46.370,206,14,1,1,0,0,512,1020,513,2,0,0
1769151046.371024,2026-01-23 15:50:46.371,207,15,1,1,0,0,514,1020,513,2,0,0
1769151046.372024,2026-01-23 15:50:46.372,208,0,1,1,0,0,512,1020,513,2,0,0
1769151046.373024,2026-01-23 15:50:46.373,209,1,1,1,0,0,511,1020,514,2,0,0
1769151046.374024,2026-01-23 15:50:46.374,210,2,1,1,0,0,509,1020,514,2,0,0
1769151046.375024,2026-01-23 15:50:46.375,211,3,1,1,0,0,510,1020,514,2,0,0
1769151046.376024,2026-01-23 15:50:46.376,212,4,1,1,0,0,511,1020,514,2,0,0
1769151046.377024,2026-01-23 15:50:46.377,213,5,1,1,0,0,511,1020,513,2,0,0
